assetId,sourceArchive,category,layer,originalFileName,storedPath,width,height,sha256
COMMERCIAL_REF_0264,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13206.jpg,images/commercial_reference/IMG_13206.jpg,5000,5000,798e673ad8bfea3b4b6022ff4cfe13fd77809dcf0112607c7e38bf9b88f2bae8
COMMERCIAL_REF_0265,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13207.jpg,images/commercial_reference/IMG_13207.jpg,2774,4096,390ecace5bf88b68a81b7c40ff77b54761ecb8ee549a89ce12d182e7e9019efd
COMMERCIAL_REF_0266,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13208.jpg,images/commercial_reference/IMG_13208.jpg,5000,5000,d95f7063064f48386ca6f6e73f5f70d0c6b490600023b9f81786a7e76c96a41c
COMMERCIAL_REF_0267,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13209.jpg,images/commercial_reference/IMG_13209.jpg,5000,5000,094b84a33c8be5413432a6a0eb30ca5dfdf6b93af25501c00bd5e2404379d6f8
COMMERCIAL_REF_0268,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13210.jpg,images/commercial_reference/IMG_13210.jpg,5000,5000,196a439597c0c92777103375cd0d6200a53758b98793e338e9f93455f48f29ef
COMMERCIAL_REF_0269,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13211.jpg,images/commercial_reference/IMG_13211.jpg,800,800,9e193b8fc19bb1af3081325d2df8b3a93913cdefb37d52ab6c33d8de1d078072
COMMERCIAL_REF_0270,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13212.jpg,images/commercial_reference/IMG_13212.jpg,800,800,097c9d7caa595cf4c94f5e1d673107cdd8b8240b3ea8ef3309b916326179ad33
COMMERCIAL_REF_0271,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13213.png,images/commercial_reference/IMG_13213.png,800,800,6bc09522d91b032495d817e87d7b81e53a0646f993a365b01c5343bed8e1d064
COMMERCIAL_REF_0272,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13214.png,images/commercial_reference/IMG_13214.png,1700,1700,5768015e5ba83fbda4a9673846e80948c7f9e3f363b7ae70879d7cc7d283c964
COMMERCIAL_REF_0273,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13215.jpg,images/commercial_reference/IMG_13215.jpg,800,800,a8ee2c3cf947801ed5ae9841f052292ad4e5011bc14c238e1cb987bf0e6e4862
COMMERCIAL_REF_0274,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13216.jpg,images/commercial_reference/IMG_13216.jpg,800,800,65550efbfe1bd392f5badfc357f6762bd1b528cfb5bfc70f4f6ec03f7aa38961
COMMERCIAL_REF_0275,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13217.jpg,images/commercial_reference/IMG_13217.jpg,800,800,bfcb31e614ef0401efb175564b988fa1a944a300b619dafc1b3334154bd1b6d4
COMMERCIAL_REF_0276,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13218.jpg,images/commercial_reference/IMG_13218.jpg,800,800,334e3d88232baa4435c15d08bf3557e4e6016873c2b6c28fc285f01539e963dc
COMMERCIAL_REF_0277,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13219.jpg,images/commercial_reference/IMG_13219.jpg,3024,4032,b101fbb92b6467d8b70eafeb6f102fc49116d387bb751823e10ff0cdb46d6701
COMMERCIAL_REF_0278,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13220.jpg,images/commercial_reference/IMG_13220.jpg,3024,4032,cbb870dc87a00c58bdf234343e82c547d789f0c18dc0701120600cd0c2c9ce36
COMMERCIAL_REF_0279,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13221.jpg,images/commercial_reference/IMG_13221.jpg,3024,4032,2fd9cb779ac5105ff20baf61d1931ceee3ba2c9453ea3c382520ac6926bda016
COMMERCIAL_REF_0280,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13222.jpg,images/commercial_reference/IMG_13222.jpg,3024,4032,21e862e7454fdc0bf4595d3806120e620a060b77d39fc89dcae5ef7ff44ecfaa
COMMERCIAL_REF_0281,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13223.jpg,images/commercial_reference/IMG_13223.jpg,2160,2880,a9714de59378a8f6321a4e2d94fe29d80965b73556849f0438d3c4bfddc0b0cf
COMMERCIAL_REF_0282,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13224.jpg,images/commercial_reference/IMG_13224.jpg,1773,1773,6967db3afd5bb80059623a06fdb0a892aa234c179fb7543e2927727d04f5fc4f
COMMERCIAL_REF_0283,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13225.jpg,images/commercial_reference/IMG_13225.jpg,1777,1777,1c181b666d1f861f546b060deb10401d5affec3f23ee7fde215bab6578554ae6
COMMERCIAL_REF_0284,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13226.jpg,images/commercial_reference/IMG_13226.jpg,1773,1773,4b5f4c95aa5689b24f238b4557d35357ac586c5c06f512096cb892f0bf711bc8
COMMERCIAL_REF_0285,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13227.jpg,images/commercial_reference/IMG_13227.jpg,1773,1773,d9f1262faa43e81e75017b596aacd57ef1f6cd892417a189def3ff85696714c0
COMMERCIAL_REF_0286,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13228.jpg,images/commercial_reference/IMG_13228.jpg,1773,1773,6967db3afd5bb80059623a06fdb0a892aa234c179fb7543e2927727d04f5fc4f
